date,state,evacuees,relief_centres,source
2/12/2024,Multiple States,137410,633,NADMA via IFRC
12/12/2024,Multiple States,6517,44,ADINet via ECHO
12/1/2025,Johor,3779,38,ADINet via ECHO
12/1/2025,Perak,34,38,ADINet via ECHO
12/1/2025,Terengganu,31,38,ADINet via ECHO
31/1/2025,Sarawak,12486,62,IFRC
4/2/2025,Sabah,5200,33,IFRC
20/2/2025,Pahang,150,1,ADINet via ECHO
20/2/2025,Negeri Sembilan,101,1,ADINet via ECHO
28/2/2025,Sabah,397,5,ADINet via ECHO
10/3/2025,Sabah,4555,14,IFRC via ECHO
21/3/2025,Johor,9646,99,ADINet via ECHO
21/3/2025,Sabah,1237,99,ADINet via ECHO
21/3/2025,Sarawak,188,99,ADINet via ECHO
10/4/2025,Johor,472,2,ADINet via ECHO
10/4/2025,Sabah,472,2,ADINet via ECHO
28/4/2025,Selangor,1420,5,ADINet via ECHO
5/5/2025,Sabah,1627,5,ADINet via ECHO
5/5/2025,Pahang,16,1,ADINet via ECHO
